# percentile = weighted fraction of best-lr count mass with lr <= target
# percentile values are fractions in [0, 1]
# run = cifar_line_search9_bs125.log
  step         gt_lr      gt_lr_x2       log_pct    log_x2_pct   log_count
     0          0.04          0.08         0.008         0.112         125
     1     0.0399875      0.079975         0.016         0.112         125
     2      0.039975       0.07995         0.008         0.072         125
     3     0.0399625      0.079925             0         0.056         125
     4       0.03995        0.0799             0         0.056         125
     5     0.0399375      0.079875         0.016         0.072         125
     6      0.039925       0.07985             0         0.128         125
     7     0.0399125      0.079825             0         0.104         125
     8        0.0399        0.0798             0         0.096         125
     9     0.0398875      0.079775         0.016         0.144         125
    10      0.039875       0.07975         0.016         0.168         125
    11     0.0398625      0.079725         0.024         0.144         125
    12       0.03985        0.0797         0.024         0.136         125
    13     0.0398375      0.079675         0.008         0.176         125
    14      0.039825       0.07965         0.016         0.144         125
    15     0.0398125      0.079625         0.016          0.24         125
    16        0.0398        0.0796         0.008         0.224         125
    17     0.0397875      0.079575         0.048         0.248         125
    18      0.039775       0.07955         0.088         0.296         125
    19     0.0397625      0.079525         0.024         0.192         125
    20       0.03975        0.0795         0.016         0.216         125
    21     0.0397375      0.079475          0.04         0.216         125
    22      0.039725       0.07945         0.064         0.368         125
    23     0.0397125      0.079425         0.088         0.376         125
    24        0.0397        0.0794         0.064         0.288         125
    25     0.0396875      0.079375         0.064         0.368         125
    26      0.039675       0.07935         0.072         0.336         125
    27     0.0396625      0.079325          0.04         0.264         125
    28       0.03965        0.0793         0.064         0.288         125
    29     0.0396375      0.079275         0.048         0.264         125
    30      0.039625       0.07925         0.104          0.48         125
    31     0.0396125      0.079225         0.112         0.384         125
    32        0.0396        0.0792         0.128         0.376         125
    33     0.0395875      0.079175         0.048         0.408         125
    34      0.039575       0.07915         0.056          0.28         125
    35     0.0395625      0.079125         0.048         0.272         125
    36       0.03955        0.0791         0.064         0.376         125
    37     0.0395375      0.079075          0.04         0.384         125
    38      0.039525       0.07905          0.04         0.288         125
    39     0.0395125      0.079025         0.128         0.416         125
    40        0.0395         0.079          0.12         0.336         125
    41     0.0394875      0.078975         0.104         0.384         125
    42      0.039475       0.07895         0.056         0.296         125
    43     0.0394625      0.078925          0.08          0.32         125
    44       0.03945        0.0789         0.072         0.256         125
