run,batch_size,interval_scheduler,step,total_steps,loss,head_lr,muon_lr,muon_momentum,muon_nesterov
4,2000,linear,6,30,1.5566,1072.0,0.17,0.6,False
4,2000,linear,7,30,1.4097,1072.0,0.16,0.6,False
4,2000,linear,8,30,1.2723,1072.0,0.15,0.6,False
4,2000,linear,9,30,1.2256,1072.0,0.15,0.6,False
4,2000,linear,10,30,1.1706,1072.0,0.14,0.6,False
4,2000,linear,11,30,1.0352,1072.0,0.13,0.6,False
4,2000,linear,12,30,0.9861,1072.0,0.12,0.6,False
4,2000,linear,13,30,0.9778,1072.0,0.12,0.6,False
4,2000,linear,14,30,0.9514,1072.0,0.11,0.6,False
4,2000,linear,15,30,0.9466,1072.0,0.1,0.6,False
4,2000,linear,16,30,0.9408,1072.0,0.098,0.6,False
4,2000,linear,17,30,0.9188,1072.0,0.091,0.6,False
4,2000,linear,18,30,0.9102,1072.0,0.084,0.6,False
4,2000,linear,19,30,0.9034,1072.0,0.077,0.6,False
4,2000,linear,20,30,0.8929,1072.0,0.07,0.6,False
4,2000,linear,21,30,0.8887,1072.0,0.063,0.6,False
4,2000,linear,22,30,0.8855,1072.0,0.057,0.6,False
4,2000,linear,23,30,0.8817,1072.0,0.05,0.6,False
4,2000,linear,24,30,0.8787,1072.0,0.043,0.6,False
4,2000,linear,25,30,0.8745,1072.0,0.036,0.6,False
4,2000,linear,26,30,0.8723,1072.0,0.029,0.6,False
4,2000,linear,27,30,0.8704,1072.0,0.022,0.6,False
4,2000,linear,28,30,0.8688,1072.0,0.016,0.6,False
4,2000,linear,29,30,0.8676,1072.0,0.0088,0.6,False
4,2000,linear,30,30,0.8674,1072.0,0.002,0.6,False
5,2000,constant,0,30,2.3135,1072.0,0.2,0.6,False
5,2000,constant,1,30,2.2201,1072.0,0.12,0.7,False
5,2000,constant,2,30,2.207,1072.0,0.12,0.7,False
5,2000,constant,3,30,1.9635,1072.0,0.12,0.7,False
5,2000,constant,4,30,1.7714,1072.0,0.12,0.7,False
5,2000,constant,5,30,1.5769,1072.0,0.12,0.7,False
5,2000,constant,6,30,1.4327,1072.0,0.12,0.7,False
5,2000,constant,7,30,1.3259,1072.0,0.12,0.7,False
5,2000,constant,8,30,1.2495,1072.0,0.12,0.7,False
5,2000,constant,9,30,1.1488,1072.0,0.12,0.7,False
5,2000,constant,10,30,1.0252,1072.0,0.12,0.7,False
5,2000,constant,11,30,0.969,1072.0,0.12,0.7,False
5,2000,constant,12,30,0.995,1072.0,0.12,0.7,False
5,2000,constant,13,30,0.9598,1072.0,0.12,0.7,False
5,2000,constant,14,30,0.9783,1072.0,0.12,0.7,False
5,2000,constant,15,30,0.9616,1072.0,0.12,0.7,False
5,2000,constant,16,30,0.94,1072.0,0.12,0.7,False
5,2000,constant,17,30,0.9474,1072.0,0.12,0.7,False
5,2000,constant,18,30,0.9425,1072.0,0.12,0.7,False
5,2000,constant,19,30,0.9594,1072.0,0.12,0.7,False
5,2000,constant,20,30,0.9467,1072.0,0.12,0.7,False
5,2000,constant,21,30,0.9544,1072.0,0.12,0.7,False
5,2000,constant,22,30,0.9397,1072.0,0.12,0.7,False
5,2000,constant,23,30,0.931,1072.0,0.12,0.7,False
5,2000,constant,24,30,0.9355,1072.0,0.12,0.7,False
5,2000,constant,25,30,0.9291,1072.0,0.12,0.7,False
5,2000,constant,26,30,0.9317,1072.0,0.12,0.7,False
5,2000,constant,27,30,0.9191,1072.0,0.12,0.7,False
5,2000,constant,28,30,0.9158,1072.0,0.12,0.7,False
5,2000,constant,29,30,0.9122,1072.0,0.12,0.7,False
5,2000,constant,30,30,0.9093,1072.0,0.12,0.7,False
6,10000,exp_linear,0,30,2.3141,1072.0,0.2,0.6,False
6,10000,exp_linear,1,30,2.2522,1072.0,0.2,0.7,False
6,10000,exp_linear,2,30,2.2369,1072.0,0.18,0.7,False
6,10000,exp_linear,3,30,2.0294,1072.0,0.17,0.7,False
6,10000,exp_linear,4,30,1.8807,1072.0,0.15,0.7,False
6,10000,exp_linear,5,30,1.7559,1072.0,0.14,0.7,False
6,10000,exp_linear,6,30,1.6609,1072.0,0.13,0.7,False
6,10000,exp_linear,7,30,1.5828,1072.0,0.12,0.7,False
6,10000,exp_linear,8,30,1.5187,1072.0,0.11,0.7,False
6,10000,exp_linear,9,30,1.4519,1072.0,0.1,0.7,False
6,10000,exp_linear,10,30,1.4028,1072.0,0.091,0.7,False
6,10000,exp_linear,11,30,1.3613,1072.0,0.084,0.7,False
6,10000,exp_linear,12,30,1.2586,1072.0,0.077,0.7,False
6,10000,exp_linear,13,30,1.1844,1072.0,0.07,0.7,False
6,10000,exp_linear,14,30,1.1366,1072.0,0.064,0.7,False
6,10000,exp_linear,15,30,1.1069,1072.0,0.059,0.7,False
6,10000,exp_linear,16,30,1.0422,1072.0,0.054,0.7,False
6,10000,exp_linear,17,30,1.0081,1072.0,0.05,0.7,False
6,10000,exp_linear,18,30,0.9767,1072.0,0.046,0.7,False
6,10000,exp_linear,19,30,0.95,1072.0,0.042,0.7,False
6,10000,exp_linear,20,30,0.9266,1072.0,0.038,0.7,False
6,10000,exp_linear,21,30,0.9111,1072.0,0.035,0.7,False
6,10000,exp_linear,22,30,0.9022,1072.0,0.032,0.7,False
6,10000,exp_linear,23,30,0.8943,1072.0,0.029,0.7,False
6,10000,exp_linear,24,30,0.8919,1072.0,0.027,0.7,False
6,10000,exp_linear,25,30,0.8897,1072.0,0.025,0.7,False
6,10000,exp_linear,26,30,0.8869,1072.0,0.023,0.7,False
6,10000,exp_linear,27,30,0.8838,1072.0,0.021,0.7,False
6,10000,exp_linear,28,30,0.8814,1072.0,0.019,0.7,False
6,10000,exp_linear,29,30,0.8778,1072.0,0.017,0.7,False
6,10000,exp_linear,30,30,0.877,1072.0,0.016,0.7,False
7,10000,linear,0,30,2.3141,1072.0,0.2,0.6,False
7,10000,linear,1,30,2.2522,1072.0,0.2,0.7,False
7,10000,linear,2,30,2.2372,1072.0,0.19,0.7,False
7,10000,linear,3,30,2.0274,1072.0,0.19,0.7,False
7,10000,linear,4,30,1.878,1072.0,0.18,0.7,False
7,10000,linear,5,30,1.7655,1072.0,0.17,0.7,False
7,10000,linear,6,30,1.6869,1072.0,0.17,0.7,False
7,10000,linear,7,30,1.6021,1072.0,0.16,0.7,False
7,10000,linear,8,30,1.5649,1072.0,0.16,0.7,False
7,10000,linear,9,30,1.4955,1072.0,0.15,0.7,False
7,10000,linear,10,30,1.4337,1072.0,0.14,0.7,False
7,10000,linear,11,30,1.4313,1072.0,0.14,0.7,False
7,10000,linear,12,30,1.3668,1072.0,0.13,0.7,False
7,10000,linear,13,30,1.2903,1072.0,0.12,0.7,False
7,10000,linear,14,30,1.2166,1072.0,0.12,0.7,False
7,10000,linear,15,30,1.141,1072.0,0.11,0.7,False
7,10000,linear,16,30,1.0951,1072.0,0.1,0.7,False
7,10000,linear,17,30,1.0696,1072.0,0.098,0.7,False
7,10000,linear,18,30,1.0271,1072.0,0.092,0.7,False
7,10000,linear,19,30,0.9718,1072.0,0.086,0.7,False
7,10000,linear,20,30,0.9453,1072.0,0.079,0.7,False
7,10000,linear,21,30,0.9287,1072.0,0.073,0.7,False
7,10000,linear,22,30,0.9262,1072.0,0.067,0.7,False
7,10000,linear,23,30,0.9069,1072.0,0.06,0.7,False
7,10000,linear,24,30,0.8952,1072.0,0.054,0.7,False
7,10000,linear,25,30,0.8868,1072.0,0.048,0.7,False
7,10000,linear,26,30,0.8841,1072.0,0.041,0.7,False
7,10000,linear,27,30,0.8834,1072.0,0.035,0.7,False
7,10000,linear,28,30,0.8803,1072.0,0.029,0.7,False
7,10000,linear,29,30,0.8748,1072.0,0.022,0.7,False
7,10000,linear,30,30,0.8725,1072.0,0.016,0.7,False
8,10000,constant,0,30,2.3141,1072.0,0.2,0.6,False
8,10000,constant,1,30,2.2672,1072.0,0.072,0.9,False
8,10000,constant,2,30,2.2835,1072.0,0.072,0.9,False
8,10000,constant,3,30,2.1016,1072.0,0.072,0.9,False
8,10000,constant,4,30,1.9686,1072.0,0.072,0.9,False
8,10000,constant,5,30,1.8538,1072.0,0.072,0.9,False
8,10000,constant,6,30,1.743,1072.0,0.072,0.9,False
8,10000,constant,7,30,1.6396,1072.0,0.072,0.9,False
8,10000,constant,8,30,1.5582,1072.0,0.072,0.9,False
8,10000,constant,9,30,1.5204,1072.0,0.072,0.9,False
8,10000,constant,10,30,1.4565,1072.0,0.072,0.9,False
8,10000,constant,11,30,1.3754,1072.0,0.072,0.9,False
8,10000,constant,12,30,1.3396,1072.0,0.072,0.9,False
8,10000,constant,13,30,1.3076,1072.0,0.072,0.9,False
8,10000,constant,14,30,1.226,1072.0,0.072,0.9,False
8,10000,constant,15,30,1.1478,1072.0,0.072,0.9,False
8,10000,constant,16,30,1.086,1072.0,0.072,0.9,False
8,10000,constant,17,30,1.0556,1072.0,0.072,0.9,False
8,10000,constant,18,30,1.0615,1072.0,0.072,0.9,False
8,10000,constant,19,30,1.0724,1072.0,0.072,0.9,False
8,10000,constant,20,30,0.9917,1072.0,0.072,0.9,False
8,10000,constant,21,30,0.9582,1072.0,0.072,0.9,False
8,10000,constant,22,30,0.9416,1072.0,0.072,0.9,False
8,10000,constant,23,30,0.9228,1072.0,0.072,0.9,False
8,10000,constant,24,30,0.9145,1072.0,0.072,0.9,False
8,10000,constant,25,30,0.913,1072.0,0.072,0.9,False
8,10000,constant,26,30,0.905,1072.0,0.072,0.9,False
8,10000,constant,27,30,0.9059,1072.0,0.072,0.9,False
8,10000,constant,28,30,0.8991,1072.0,0.072,0.9,False
8,10000,constant,29,30,0.8932,1072.0,0.072,0.9,False
8,10000,constant,30,30,0.8889,1072.0,0.072,0.9,False
