search,batch_size,update,k,muon_lr,initial_muon_lr,train25_loss,val_acc,tta_val_acc,time_seconds,selected
0,2000,ns4_track3_blend25,-1.0,0.28,0.22,0.9082,0.93,0.9394,11.8239,False
0,2000,ns4_track3_blend25,0.0,0.22,0.22,0.9019,0.9316,0.9389,11.0245,False
0,2000,ns4_track3_blend25,1.0,0.18,0.22,0.9007,0.9337,0.9399,11.0967,True
0,2000,ns4_track3_blend25,2.0,0.14,0.22,0.9028,0.925,0.9374,11.1679,False
1,2000,ns4_track3_blend50,-1.0,0.28,0.22,0.9067,0.9313,0.9392,11.2008,False
1,2000,ns4_track3_blend50,0.0,0.22,0.22,0.9022,0.9319,0.9408,11.207,True
1,2000,ns4_track3_blend50,1.0,0.18,0.22,0.9008,0.931,0.9397,11.2048,False
2,2000,ns4_track3_blend75,-1.0,0.22,0.18,0.9017,0.9325,0.9397,11.2187,True
2,2000,ns4_track3_blend75,0.0,0.18,0.18,0.9003,0.9312,0.9397,11.2166,False
2,2000,ns4_track3_blend75,1.0,0.14,0.18,0.9027,0.9257,0.9371,11.2255,False
3,2000,ns4_aurora_half_blend50,-1.0,0.22,0.18,0.9029,0.93,0.9376,11.287,False
3,2000,ns4_aurora_half_blend50,0.0,0.18,0.18,0.8998,0.9317,0.9405,11.2754,True
3,2000,ns4_aurora_half_blend50,1.0,0.14,0.18,0.9028,0.9295,0.9394,11.2819,False
4,2000,ns4_aurora_quarter,-1.0,0.28,0.22,0.9085,0.931,0.9401,10.6542,False
4,2000,ns4_aurora_quarter,0.0,0.22,0.22,0.903,0.9331,0.9417,10.6495,True
4,2000,ns4_aurora_quarter,1.0,0.18,0.22,0.9011,0.9298,0.9404,10.6496,False
5,2000,ns4_aurora_threequarter,-2.0,0.28,0.18,0.9093,0.9308,0.9396,10.6463,False
5,2000,ns4_aurora_threequarter,-1.0,0.22,0.18,0.9037,0.9297,0.9397,10.6504,True
5,2000,ns4_aurora_threequarter,0.0,0.18,0.18,0.9019,0.9311,0.9394,10.6534,False
5,2000,ns4_aurora_threequarter,1.0,0.14,0.18,0.9047,0.9273,0.9375,10.6444,False
6,2000,ns4_centered_aurora_half,-2.0,0.28,0.18,0.9222,0.9264,0.936,10.6902,False
6,2000,ns4_centered_aurora_half,-1.0,0.22,0.18,0.9141,0.9259,0.9362,10.6904,True
6,2000,ns4_centered_aurora_half,0.0,0.18,0.18,0.9143,0.9265,0.935,10.6901,False
6,2000,ns4_centered_aurora_half,1.0,0.14,0.18,0.9186,0.923,0.9329,10.6907,False
7,2000,ns4_normon_beta90,-2.0,0.34,0.22,0.9139,0.9278,0.938,10.7029,False
7,2000,ns4_normon_beta90,-1.0,0.28,0.22,0.9066,0.9313,0.9409,10.708,True
7,2000,ns4_normon_beta90,0.0,0.22,0.22,0.901,0.9321,0.938,10.7079,False
7,2000,ns4_normon_beta90,1.0,0.18,0.22,0.9008,0.9297,0.9378,10.7037,False
8,2000,ns4_aurora_half_normon,-2.0,0.28,0.18,0.9073,0.9291,0.9374,10.7441,False
8,2000,ns4_aurora_half_normon,-1.0,0.22,0.18,0.902,0.9313,0.9397,10.7393,True
8,2000,ns4_aurora_half_normon,0.0,0.18,0.18,0.8999,0.9287,0.9376,10.7417,False
8,2000,ns4_aurora_half_normon,1.0,0.14,0.18,0.9032,0.9272,0.9355,10.7484,False
9,2000,ns5_muon,-2.0,0.34,0.22,0.9141,0.9291,0.9368,10.6479,False
9,2000,ns5_muon,-1.0,0.28,0.22,0.9066,0.932,0.9411,10.6477,True
9,2000,ns5_muon,0.0,0.22,0.22,0.9025,0.9325,0.9395,10.6437,False
9,2000,ns5_muon,1.0,0.18,0.22,0.8989,0.932,0.9402,10.646,False
10,2000,ns5_aurora_half,-2.0,0.28,0.18,0.907,0.9296,0.9388,10.6833,False
10,2000,ns5_aurora_half,-1.0,0.22,0.18,0.902,0.9295,0.9394,10.6864,True
10,2000,ns5_aurora_half,0.0,0.18,0.18,0.9008,0.9329,0.9379,10.6867,False
10,2000,ns5_aurora_half,1.0,0.14,0.18,0.9027,0.9264,0.9358,10.6838,False
11,2000,ns6_muon,-1.0,0.28,0.22,0.9093,0.9314,0.9379,10.6841,False
11,2000,ns6_muon,0.0,0.22,0.22,0.9034,0.9299,0.9409,10.6947,True
11,2000,ns6_muon,1.0,0.18,0.22,0.9011,0.9289,0.9375,10.6915,False
12,2000,ns3_aurora_half,-1.0,0.28,0.22,0.9066,0.9284,0.9383,10.6034,False
12,2000,ns3_aurora_half,0.0,0.22,0.22,0.9004,0.9302,0.9395,10.6012,True
12,2000,ns3_aurora_half,1.0,0.18,0.22,0.8994,0.9285,0.9352,10.6005,False
13,2000,soft_aurora_quarter,-1.0,0.28,0.22,0.9089,0.9312,0.9376,11.8096,False
13,2000,soft_aurora_quarter,0.0,0.22,0.22,0.9039,0.9282,0.9376,11.8124,False
13,2000,soft_aurora_quarter,1.0,0.18,0.22,0.9011,0.9304,0.9377,11.8136,True
13,2000,soft_aurora_quarter,2.0,0.14,0.22,0.902,0.9305,0.9372,11.8099,False
14,2000,soft_aurora_half,-1.0,0.22,0.18,0.9038,0.9308,0.9391,11.7968,False
14,2000,soft_aurora_half,0.0,0.18,0.18,0.9005,0.9333,0.9405,11.7917,True
14,2000,soft_aurora_half,1.0,0.14,0.18,0.9033,0.9264,0.9369,11.8052,False
15,2000,soft_aurora_threequarter,-1.0,0.22,0.18,0.9033,0.928,0.9385,11.7927,False
15,2000,soft_aurora_threequarter,0.0,0.18,0.18,0.9017,0.9289,0.9385,11.8023,False
15,2000,soft_aurora_threequarter,1.0,0.14,0.18,0.9034,0.9301,0.9389,11.8057,True
15,2000,soft_aurora_threequarter,2.0,0.12,0.18,0.9079,0.9266,0.9374,11.8047,False
16,2000,soft_aurora_half_normon,-2.0,0.28,0.18,0.9082,0.9277,0.937,12.0446,False
16,2000,soft_aurora_half_normon,-1.0,0.22,0.18,0.9017,0.9307,0.9418,12.0488,True
16,2000,soft_aurora_half_normon,0.0,0.18,0.18,0.8997,0.9305,0.9407,12.0563,False
16,2000,soft_aurora_half_normon,1.0,0.14,0.18,0.9024,0.9286,0.9359,12.0553,False
17,2000,contra_soft_aurora_half,-1.0,0.28,0.22,0.9073,0.9325,0.9403,12.1347,False
17,2000,contra_soft_aurora_half,0.0,0.22,0.22,0.901,0.9319,0.9411,12.1384,True
17,2000,contra_soft_aurora_half,1.0,0.18,0.22,0.9004,0.9327,0.9395,12.1365,False
18,2000,contra_fast_soft_aurora_half,-1.0,0.28,0.22,0.9078,0.9309,0.9389,12.1302,False
