search,batch_size,update,label,initial_lr,best_k,best_lr,train25_loss,val_acc,tta_val_acc,time_seconds,evaluated_lrs
16,2000,soft_aurora_half_normon,Soft Aurora half NorMuon,0.18,-1.0,0.22,0.9017,0.9307,0.9418,12.0488,4
4,2000,ns4_aurora_quarter,NS4 Aurora quarter,0.22,0.0,0.22,0.903,0.9331,0.9417,10.6495,3
9,2000,ns5_muon,NS5 Muon,0.22,-1.0,0.28,0.9066,0.932,0.9411,10.6477,4
17,2000,contra_soft_aurora_half,Contra Soft Aurora half,0.22,0.0,0.22,0.901,0.9319,0.9411,12.1384,3
7,2000,ns4_normon_beta90,NS4 NorMuon beta=0.90,0.22,-1.0,0.28,0.9066,0.9313,0.9409,10.708,4
11,2000,ns6_muon,NS6 Muon,0.22,0.0,0.22,0.9034,0.9299,0.9409,10.6947,3
19,2000,ns4_qr_aurora_half_blend,NS4 QR Aurora half blend,0.18,-1.0,0.22,0.9028,0.9313,0.9409,12.662,4
1,2000,ns4_track3_blend50,NS4 + Track3 50%,0.22,0.0,0.22,0.9022,0.9319,0.9408,11.207,3
3,2000,ns4_aurora_half_blend50,NS4 Aurora half + Track3,0.18,0.0,0.18,0.8998,0.9317,0.9405,11.2754,3
14,2000,soft_aurora_half,Soft Aurora half,0.18,0.0,0.18,0.9005,0.9333,0.9405,11.7917,3
0,2000,ns4_track3_blend25,NS4 + Track3 25%,0.22,1.0,0.18,0.9007,0.9337,0.9399,11.0967,4
2,2000,ns4_track3_blend75,NS4 + Track3 75%,0.18,-1.0,0.22,0.9017,0.9325,0.9397,11.2187,3
5,2000,ns4_aurora_threequarter,NS4 Aurora three-quarter,0.18,-1.0,0.22,0.9037,0.9297,0.9397,10.6504,4
8,2000,ns4_aurora_half_normon,NS4 Aurora half NorMuon,0.18,-1.0,0.22,0.902,0.9313,0.9397,10.7393,4
18,2000,contra_fast_soft_aurora_half,Fast Contra Soft Aurora half,0.22,0.0,0.22,0.902,0.93,0.9397,12.1395,3
12,2000,ns3_aurora_half,NS3 Aurora half,0.22,0.0,0.22,0.9004,0.9302,0.9395,10.6012,3
10,2000,ns5_aurora_half,NS5 Aurora half,0.18,-1.0,0.22,0.902,0.9295,0.9394,10.6864,4
15,2000,soft_aurora_threequarter,Soft Aurora three-quarter,0.18,1.0,0.14,0.9034,0.9301,0.9389,11.8057,4
27,2000,raw_shampoo_norm,Raw Shampoo,0.061,-3.0,0.12,0.9107,0.9277,0.938,53.8365,6
13,2000,soft_aurora_quarter,Soft Aurora quarter,0.22,1.0,0.18,0.9011,0.9304,0.9377,11.8136,4
34,2000,right_newton_cov_raw,Right Newton covariance,0.061,-4.0,0.15,0.904,0.9236,0.9366,48.23,7
6,2000,ns4_centered_aurora_half,NS4 centered Aurora half,0.18,-1.0,0.22,0.9141,0.9259,0.9362,10.6904,4
28,2000,spectral_descent_raw,Spectral Descent,0.061,-2.0,0.095,0.9218,0.9259,0.9347,45.3502,5
32,2000,psgd_kron_whiten_norm,PSGD Kronecker whitening,0.061,-4.0,0.15,0.9153,0.9249,0.9341,53.3115,7
30,2000,raw_kl_soap_norm,Raw KL-SOAP,0.061,-3.0,0.12,0.9177,0.9236,0.9329,14.9491,6
31,2000,sinksoap_raw_norm,Raw SinkSOAP,0.061,-5.0,0.19,0.9035,0.9234,0.9327,15.1831,8
29,2000,raw_soap_norm,Raw SOAP,0.061,-2.0,0.095,0.9348,0.9152,0.929,14.9617,5
35,2000,left_newton_cov_raw,Left Newton covariance,0.061,-4.0,0.15,0.933,0.9192,0.9289,16.594,7
33,2000,pmuon_bilateral_power_raw,PMuon bilateral power,0.061,-2.0,0.095,0.9416,0.9149,0.9278,53.212,5
37,2000,adam_radial_brake,Adam radial brake,0.061,-1.0,0.076,0.9795,0.9077,0.9178,10.5423,4
20,2000,adamw_precond_norm,AdamW preconditioned,0.061,0.0,0.061,0.9816,0.9071,0.9174,10.3984,3
26,2000,signum_rms_hybrid,Signum RMS hybrid,0.049,-2.0,0.077,0.9757,0.9076,0.9165,10.4337,5
38,2000,muloco_update_extrap,MuLoCo extrapolation,0.061,1.0,0.049,0.9892,0.9065,0.9164,10.4774,4
21,2000,adamh_radial_precond,AdamH radial preconditioned,0.061,0.0,0.061,0.9829,0.9039,0.9157,10.5375,3
25,2000,lion_sign_norm,Lion sign,0.025,-3.0,0.049,0.9856,0.9083,0.9154,10.4052,6
23,2000,adafactor_clipped_norm,Clipped Adafactor,0.061,0.0,0.061,0.9914,0.9029,0.9146,10.4975,3
22,2000,adafactor_norm,Adafactor,0.061,0.0,0.061,0.9918,0.9035,0.9144,10.4622,3
24,2000,signum_norm,Signum,0.025,-5.0,0.076,0.9854,0.9034,0.9142,10.3952,8
36,2000,adam_soda_anchor,Adam SODA anchor,0.061,-2.0,0.095,1.0018,0.9014,0.912,10.497,5
39,2000,late_rre_update_extrap,Late RRE extrapolation,0.061,0.0,0.061,1.0054,0.9027,0.9115,10.4227,3
