run,momentum_config,search_momentum,muon_nesterov,step,total_steps,loss,head_lr,muon_lr,muon_momentum
1,search_momentum,True,False,28,50,0.8676,1072.0,0.002,0.8
1,search_momentum,True,False,29,50,0.8674,1072.0,0.002,0.8
1,search_momentum,True,False,30,50,0.8677,1072.0,0.002,0.8
1,search_momentum,True,False,31,50,0.8673,1072.0,0.0012,0.8
1,search_momentum,True,False,32,50,0.8673,1072.0,0.0012,0.8
1,search_momentum,True,False,33,50,0.8673,1072.0,0.002,0.8
1,search_momentum,True,False,34,50,0.8673,1072.0,0.002,0.8
1,search_momentum,True,False,35,50,0.8671,1072.0,0.0012,0.8
1,search_momentum,True,False,36,50,0.8672,1072.0,0.0012,0.8
1,search_momentum,True,False,37,50,0.8671,1072.0,0.0012,0.9
1,search_momentum,True,False,38,50,0.8672,1072.0,0.0012,0.9
1,search_momentum,True,False,39,50,0.8671,1072.0,0.00073,0.9
1,search_momentum,True,False,40,50,0.8671,1072.0,0.00073,0.9
1,search_momentum,True,False,41,50,0.8671,1072.0,0.0012,0.9
1,search_momentum,True,False,42,50,0.8671,1072.0,0.0012,0.9
1,search_momentum,True,False,43,50,0.867,1072.0,0.00073,0.9
1,search_momentum,True,False,44,50,0.867,1072.0,0.00073,0.9
1,search_momentum,True,False,45,50,0.867,1072.0,0.00073,0.8
1,search_momentum,True,False,46,50,0.867,1072.0,0.00073,0.8
1,search_momentum,True,False,47,50,0.867,1072.0,0.00044,0.8
1,search_momentum,True,False,48,50,0.867,1072.0,0.00044,0.8
1,search_momentum,True,False,49,50,0.867,1072.0,0.00026,0.8
1,search_momentum,True,False,50,50,0.867,1072.0,0.00026,0.8
