run,momentum_config,search_momentum,muon_nesterov,interval_index,start_step,muon_lr,muon_momentum,interval_loss,best_cooldown_muon_lr,best_cooldown_muon_momentum,best_final_loss
0,fixed_m0p6_nesterov,False,True,0,0,0.33,0.6,2.222638,0.12,0.6,1.693268
0,fixed_m0p6_nesterov,False,True,0,0,0.2,0.6,2.203367,0.072,0.6,1.63364
0,fixed_m0p6_nesterov,False,True,0,0,0.12,0.6,2.205666,0.043,0.6,1.643299
0,fixed_m0p6_nesterov,False,True,1,2,0.33,0.6,1.992922,0.072,0.6,1.374406
0,fixed_m0p6_nesterov,False,True,1,2,0.2,0.6,1.748449,0.072,0.6,1.233893
0,fixed_m0p6_nesterov,False,True,1,2,0.12,0.6,1.620513,0.043,0.6,1.206598
0,fixed_m0p6_nesterov,False,True,1,2,0.072,0.6,1.602685,0.043,0.6,1.260673
0,fixed_m0p6_nesterov,False,True,2,4,0.33,0.6,1.836456,0.072,0.6,1.156138
0,fixed_m0p6_nesterov,False,True,2,4,0.2,0.6,1.481898,0.072,0.6,1.017402
0,fixed_m0p6_nesterov,False,True,2,4,0.12,0.6,1.338675,0.043,0.6,1.022069
0,fixed_m0p6_nesterov,False,True,2,4,0.072,0.6,1.250583,0.043,0.6,1.023321
0,fixed_m0p6_nesterov,False,True,3,6,0.33,0.6,1.620228,0.072,0.6,1.011351
0,fixed_m0p6_nesterov,False,True,3,6,0.2,0.6,1.418046,0.072,0.6,0.959792
0,fixed_m0p6_nesterov,False,True,3,6,0.12,0.6,1.14507,0.043,0.6,0.932718
0,fixed_m0p6_nesterov,False,True,3,6,0.072,0.6,1.021792,0.026,0.6,0.912674
0,fixed_m0p6_nesterov,False,True,3,6,0.043,0.6,1.029319,0.026,0.6,0.915168
0,fixed_m0p6_nesterov,False,True,4,8,0.12,0.6,0.994023,0.026,0.6,0.896426
0,fixed_m0p6_nesterov,False,True,4,8,0.072,0.6,0.965474,0.026,0.6,0.896638
0,fixed_m0p6_nesterov,False,True,4,8,0.043,0.6,0.924692,0.026,0.6,0.888123
0,fixed_m0p6_nesterov,False,True,4,8,0.026,0.6,0.912791,0.016,0.6,0.886697
0,fixed_m0p6_nesterov,False,True,4,8,0.016,0.6,0.928529,0.016,0.6,0.893954
0,fixed_m0p6_nesterov,False,True,5,10,0.043,0.6,0.921065,0.0093,0.6,0.882695
0,fixed_m0p6_nesterov,False,True,5,10,0.026,0.6,0.897013,0.016,0.6,0.880759
0,fixed_m0p6_nesterov,False,True,5,10,0.016,0.6,0.886808,0.0093,0.6,0.879469
0,fixed_m0p6_nesterov,False,True,5,10,0.0093,0.6,0.891478,0.0093,0.6,0.881353
0,fixed_m0p6_nesterov,False,True,6,12,0.026,0.6,0.888993,0.0056,0.6,0.876293
0,fixed_m0p6_nesterov,False,True,6,12,0.016,0.6,0.881462,0.0056,0.6,0.875888
0,fixed_m0p6_nesterov,False,True,6,12,0.0093,0.6,0.879578,0.0056,0.6,0.875201
0,fixed_m0p6_nesterov,False,True,6,12,0.0056,0.6,0.880067,0.0056,0.6,0.87642
0,fixed_m0p6_nesterov,False,True,7,14,0.016,0.6,0.878333,0.0056,0.6,0.873575
0,fixed_m0p6_nesterov,False,True,7,14,0.0093,0.6,0.876156,0.0056,0.6,0.873567
0,fixed_m0p6_nesterov,False,True,7,14,0.0056,0.6,0.875292,0.0034,0.6,0.8733
0,fixed_m0p6_nesterov,False,True,7,14,0.0034,0.6,0.876291,0.0034,0.6,0.874073
0,fixed_m0p6_nesterov,False,True,8,16,0.016,0.6,0.877231,0.0034,0.6,0.871922
0,fixed_m0p6_nesterov,False,True,8,16,0.0093,0.6,0.874635,0.0056,0.6,0.871714
0,fixed_m0p6_nesterov,False,True,8,16,0.0056,0.6,0.873582,0.0034,0.6,0.871946
0,fixed_m0p6_nesterov,False,True,8,16,0.0034,0.6,0.873319,0.0034,0.6,0.872096
0,fixed_m0p6_nesterov,False,True,9,18,0.016,0.6,0.874848,0.0034,0.6,0.871074
0,fixed_m0p6_nesterov,False,True,9,18,0.0093,0.6,0.872746,0.0034,0.6,0.870811
0,fixed_m0p6_nesterov,False,True,9,18,0.0056,0.6,0.871684,0.0034,0.6,0.870341
0,fixed_m0p6_nesterov,False,True,9,18,0.0034,0.6,0.872079,0.0034,0.6,0.870804
0,fixed_m0p6_nesterov,False,True,10,20,0.0093,0.6,0.871551,0.0034,0.6,0.869818
0,fixed_m0p6_nesterov,False,True,10,20,0.0056,0.6,0.870768,0.002,0.6,0.869857
0,fixed_m0p6_nesterov,False,True,10,20,0.0034,0.6,0.870348,0.002,0.6,0.869664
0,fixed_m0p6_nesterov,False,True,10,20,0.002,0.6,0.870651,0.002,0.6,0.869973
0,fixed_m0p6_nesterov,False,True,11,22,0.0056,0.6,0.870049,0.002,0.6,0.869202
0,fixed_m0p6_nesterov,False,True,11,22,0.0034,0.6,0.869779,0.002,0.6,0.8692
0,fixed_m0p6_nesterov,False,True,11,22,0.002,0.6,0.869671,0.002,0.6,0.869253
0,fixed_m0p6_nesterov,False,True,12,24,0.0093,0.6,0.87038,0.0034,0.6,0.868943
0,fixed_m0p6_nesterov,False,True,12,24,0.0056,0.6,0.869668,0.002,0.6,0.868849
0,fixed_m0p6_nesterov,False,True,12,24,0.0034,0.6,0.869359,0.002,0.6,0.868863
