Run: current_batch
Validation losses are divided by 5 to match plot scale.
Deltas are selected loss minus pre-step loss; lower is better.

step  decision_metric  decision_batch                selection   head_lr    muon_lr  current_batch_loss  mean_25_batch_loss  validation_loss  current_delta  mean_delta  validation_delta
  18    current_batch              17                best_mean   0.24954  0.0357917             2774.56             2865.22          2933.43       -260.638    -71.0936          -64.4133
  18    current_batch              17          best_validation   0.24954  0.0357917             2774.56             2865.22          2933.43       -260.638    -71.0936          -64.4133
  19    current_batch              18  best_current (selected)  0.300696   0.043129              2749.1             2855.97          2927.26       -258.262    -27.3077          -24.2369
  19    current_batch              18                best_mean  0.300696  0.0345032              2763.5              2836.4          2908.33       -243.861      -46.88          -43.1652
  19    current_batch              18          best_validation  0.300696  0.0345032              2763.5              2836.4          2908.33       -243.861      -46.88          -43.1652
  20    current_batch              19  best_current (selected)  0.294682  0.0415764              2736.3             2832.42          2912.61       -239.927    -23.5508          -14.6524
  20    current_batch              19                best_mean  0.294682  0.0332611             2744.45             2809.85          2889.56       -231.778    -46.1185          -37.6991
  20    current_batch              19          best_validation  0.294682  0.0332611             2744.45             2809.85          2889.56       -231.778    -46.1185          -37.6991
  21    current_batch              20  best_current (selected)  0.288789  0.0400796             2698.61             2795.79          2870.25         -241.1    -36.6296          -42.3568
  21    current_batch              20                best_mean  0.288789  0.0320637              2711.4             2778.52          2854.99       -228.312    -53.9012          -57.6199
  21    current_batch              20          best_validation  0.288789  0.0320637              2711.4             2778.52          2854.99       -228.312    -53.9012          -57.6199
  22    current_batch              21  best_current (selected)  0.353766   0.048296              2649.2             2789.77          2878.07       -240.424    -6.01514           7.82256
  22    current_batch              21                best_mean  0.353766  0.0386368             2652.46             2760.37          2847.55       -237.164    -35.4198          -22.7016
  22    current_batch              21          best_validation  0.353766  0.0386368             2652.46             2760.37          2847.55       -237.164    -35.4198          -22.7016
  23    current_batch              22  best_current (selected)  0.552759   0.037864             2633.21             2733.01           2818.8        -241.01    -56.7621          -59.2713
  23    current_batch              22                best_mean  0.353766  0.0302912             2646.75             2717.19          2804.47       -227.478    -72.5805          -73.6001
  23    current_batch              22          best_validation  0.353766  0.0302912             2646.75             2717.19          2804.47       -227.478    -72.5805          -73.6001
  24    current_batch              23  best_current (selected)  0.298932  0.0456262             2575.76             2734.01           2825.3       -262.119    0.997178           6.49351
  24    current_batch              23                best_mean  0.298932  0.0365009             2590.46              2711.3          2803.14       -247.425    -21.7137           -15.666
  24    current_batch              23          best_validation  0.298932  0.0365009             2590.46              2711.3          2803.14       -247.425    -21.7137           -15.666
  25    current_batch              24  best_current (selected)  0.366192  0.0447136              2574.8             2700.93          2794.03       -261.516    -33.0828          -31.2633
  25    current_batch              24                best_mean  0.366192  0.0357709             2582.05             2677.18          2771.04       -254.264    -56.8272          -54.2528
  25    current_batch              24          best_validation  0.366192  0.0357709             2582.05             2677.18          2771.04       -254.264    -56.8272          -54.2528
