# percentile = weighted fraction of best-lr count mass with lr <= target
# percentile values are fractions in [0, 1]
# run = cifar_line_search9_exp3_high_lr.log
  step         gt_lr      gt_lr_x2       log_pct    log_x2_pct   log_count
   134          0.33          0.66         0.767        0.9235        2000
   135         0.325          0.65        0.7725        0.9165        2000
   136          0.32          0.64         0.771         0.927        2000
   137         0.315          0.63          0.74        0.9125        2000
   138          0.31          0.62         0.765         0.934        2000
   139         0.305          0.61        0.7745        0.9395        2000
   140           0.3           0.6         0.766        0.9225        2000
   141         0.295          0.59        0.6865        0.9485        2000
   142          0.29          0.58         0.702        0.9115        2000
   143         0.285          0.57         0.656         0.898        2000
   144          0.28          0.56        0.6725        0.8925        2000
   145         0.275          0.55        0.6545         0.907        2000
   146          0.27          0.54        0.6905          0.91        2000
   147         0.265          0.53        0.7195        0.9195        2000
   148          0.26          0.52        0.7715         0.933        2000
   149         0.255          0.51        0.7335         0.913        2000
   150          0.25           0.5        0.7345          0.91        2000
   151         0.245          0.49         0.711         0.924        2000
   152          0.24          0.48        0.7485        0.9405        2000
   153         0.235          0.47         0.663        0.9245        2000
   154          0.23          0.46        0.6235         0.893        2000
   155         0.225          0.45        0.6285         0.874        2000
   156          0.22          0.44         0.571        0.8805        2000
   157         0.215          0.43         0.634         0.904        2000
   158          0.21          0.42        0.7235        0.9165        2000
   159         0.205          0.41         0.689         0.903        2000
   160           0.2           0.4        0.6435        0.8875        2000
   161         0.195          0.39          0.68           0.9        2000
   162          0.19          0.38        0.5585         0.911        2000
   163         0.185          0.37         0.585        0.8685        2000
   164          0.18          0.36        0.5665         0.882        2000
   165         0.175          0.35         0.577         0.878        2000
   166          0.17          0.34         0.653         0.905        2000
   167         0.165          0.33         0.646        0.8845        2000
   168          0.16          0.32        0.5675        0.8625        2000
   169         0.155          0.31        0.6255        0.8925        2000
   170          0.15           0.3        0.5015         0.894        2000
   171         0.145          0.29         0.484         0.828        2000
   172          0.14          0.28        0.5265        0.8425        2000
   173         0.135          0.27        0.4925         0.804        2000
   174          0.13          0.26         0.561         0.863        2000
   175         0.125          0.25         0.552        0.8575        2000
   176          0.12          0.24         0.494          0.86        2000
   177         0.115          0.23        0.4475         0.772        2000
   178          0.11          0.22         0.443         0.805        2000
   179         0.105          0.21        0.4795        0.7795        2000
   180           0.1           0.2        0.5055         0.805        2000
   181         0.095          0.19        0.3865           0.7        2000
   182          0.09          0.18         0.342        0.6485        2000
   183         0.085          0.17         0.442         0.729        2000
   184          0.08          0.16        0.3995        0.7005        2000
   185         0.075          0.15        0.3265         0.583        2000
   186          0.07          0.14         0.304         0.545        2000
   187         0.065          0.13        0.3535         0.628        2000
   188          0.06          0.12        0.2545        0.4755        2000
   189         0.055          0.11        0.2795         0.471        2000
   190          0.05           0.1        0.2305         0.488        2000
   191         0.045          0.09         0.235         0.399        2000
   192          0.04          0.08        0.2155         0.419        2000
   193         0.035          0.07          0.23        0.3695        2000
   194          0.03          0.06        0.1885        0.2985        2000
   195         0.025          0.05        0.1905         0.256        2000
   196          0.02          0.04        0.1715        0.2165        2000
   197         0.015          0.03         0.151        0.1885        2000
   198          0.01          0.02         0.144        0.1635        2000
   199         0.005          0.01          0.15         0.159        2000
