# percentile = weighted fraction of best-lr count mass with lr <= target
# percentile values are fractions in [0, 1]
# run = llm_line_search9.log
  step         gt_lr      gt_lr_x2       log_pct    log_x2_pct   log_count
   119          0.06          0.12    0.39610291    0.52159119      131072
   120          0.06          0.12    0.42175293    0.55293274      131072
   121          0.06          0.12    0.43161774    0.55517578      131072
   122          0.06          0.12     0.4447937    0.60100555      131072
   123          0.06          0.12    0.49529266    0.62444305      131072
   124          0.06          0.12    0.37271118    0.49375916      131072
   125          0.06          0.12    0.47598267     0.5843811      131072
   126          0.06          0.12    0.37341309    0.48821259      131072
   127          0.06          0.12    0.47068787    0.58731079      131072
   128          0.06          0.12    0.39149475    0.52684021      131072
   129          0.06          0.12    0.44329834    0.57054901      131072
   130          0.06          0.12    0.41943359    0.55423737      131072
   131          0.06          0.12    0.44864655    0.56900024      131072
   132          0.06          0.12    0.38330078    0.50945282      131072
   133          0.06          0.12    0.43637848    0.54434967      131072
   134          0.06          0.12    0.40340424    0.52823639      131072
   135          0.06          0.12    0.40952301    0.52094269      131072
   136          0.06          0.12    0.43621826      0.575737      131072
   137          0.06          0.12    0.37813568    0.48738098      131072
   138          0.06          0.12    0.44033813    0.56433105      131072
   139          0.06          0.12    0.37688446    0.48802185      131072
   140          0.06          0.12    0.41822815     0.5431366      131072
   141          0.06          0.12    0.39369965    0.50421143      131072
   142          0.06          0.12    0.40144348    0.53507233      131072
   143          0.06          0.12     0.4567337    0.58517456      131072
   144          0.06          0.12    0.37558746    0.50234222      131072
   145          0.06          0.12    0.42123413    0.53540802      131072
   146          0.06          0.12    0.35023499    0.45176697      131072
   147          0.06          0.12    0.38135529    0.49419403      131072
   148          0.06          0.12     0.4173584    0.52392578      131072
   149          0.06          0.12    0.38938904    0.51734924      131072
   150          0.06          0.12    0.42404175     0.5406189      131072
   151          0.06          0.12    0.42132568    0.55737305      131072
   152          0.06          0.12    0.45354462    0.57055664      131072
   153          0.06          0.12     0.3943634    0.53816986      131072
   154          0.06          0.12    0.51567841    0.64001465      131072
   155          0.06          0.12    0.33796692    0.45934296      131072
   156          0.06          0.12    0.53204346    0.65856171      131072
   157          0.06          0.12    0.29463196    0.40306091      131072
   158          0.06          0.12    0.49502563    0.61368561      131072
   159          0.06          0.12    0.35044861     0.4640274      131072
   160          0.06          0.12    0.42036438     0.5384903      131072
   161          0.06          0.12    0.41845703    0.53474426      131072
   162          0.06          0.12    0.38956451    0.50351715      131072
   163          0.06          0.12    0.43547058    0.55937958      131072
   164          0.06          0.12    0.39898682    0.53713989      131072
   165          0.06          0.12    0.42819214    0.54673004      131072
   166          0.06          0.12    0.38710785    0.50350189      131072
   167          0.06          0.12    0.38195801    0.47969055      131072
   168          0.06          0.12    0.38830566    0.50854492      131072
   169          0.06          0.12    0.42067719    0.53262329      131072
   170          0.06          0.12      0.424263    0.55443573      131072
   171          0.06          0.12    0.38143158    0.49021912      131072
   172          0.06          0.12    0.45072937     0.5812912      131072
   173          0.06          0.12    0.39031219    0.50099182      131072
   174          0.06          0.12    0.39146423    0.51271057      131072
   175          0.06          0.12    0.45928192    0.58908844      131072
   176          0.06          0.12     0.3801651    0.51298523      131072
   177          0.06          0.12    0.47717285    0.59627533      131072
   178          0.06          0.12    0.36565399    0.48936462      131072
   179          0.06          0.12    0.41127014    0.52204895      131072
   180          0.06          0.12    0.39066315    0.51080322      131072
   181          0.06          0.12    0.40898895    0.51352692      131072
   182          0.06          0.12     0.3920517    0.51103973      131072
   183          0.06          0.12    0.40950775    0.52644348      131072
   184          0.06          0.12    0.38017273     0.4912262      131072
   185          0.06          0.12    0.42551422    0.54576111      131072
   186          0.06          0.12    0.33309937    0.43414307      131072
   187          0.06          0.12    0.48174286    0.59655762      131072
   188          0.06          0.12    0.31051636    0.41621399      131072
   189          0.06          0.12    0.54683685    0.66795349      131072
   190          0.06          0.12    0.29562378    0.39929199      131072
   191          0.06          0.12    0.52597046    0.64666748      131072
   192          0.06          0.12    0.30856323    0.41088867      131072
   193          0.06          0.12    0.46285248     0.5598526      131072
   194          0.06          0.12    0.39047241    0.50766754      131072
   195          0.06          0.12    0.42603302    0.52410889      131072
   196          0.06          0.12    0.35068512    0.46209717      131072
   197          0.06          0.12    0.45439911    0.56921387      131072
   198          0.06          0.12    0.34841919    0.45850372      131072
   199          0.06          0.12    0.43326569    0.55325317      131072
   200          0.06          0.12    0.40466309    0.53372955      131072
   201          0.06          0.12    0.43679047    0.56851959      131072
   202          0.06          0.12    0.43095398    0.54885864      131072
   203          0.06          0.12    0.40787506    0.54562378      131072
   204          0.06          0.12     0.4594574    0.57066345      131072
   205          0.06          0.12      0.376297    0.49484253      131072
   206          0.06          0.12    0.48738098    0.60760498      131072
   207          0.06          0.12    0.34535217    0.47277832      131072
   208          0.06          0.12    0.52729034    0.65488434      131072
   209          0.06          0.12    0.29553223    0.39770508      131072
   210          0.06          0.12    0.48291779     0.5970993      131072
   211          0.06          0.12    0.30670166    0.41280365      131072
   212          0.06          0.12    0.46113586    0.58733368      131072
   213          0.06          0.12    0.40896606    0.52283478      131072
   214          0.06          0.12    0.38915253    0.49764252      131072
   215          0.06          0.12    0.47742462    0.59460449      131072
   216          0.06          0.12    0.32325745    0.41233826      131072
   217          0.06          0.12    0.47951508    0.59819794      131072
   218          0.06          0.12    0.32023621    0.41278076      131072
   219          0.06          0.12    0.41841888    0.53555298      131072
   220          0.06          0.12    0.41563416    0.52024841      131072
   221          0.06          0.12    0.37760925     0.5055542      131072
   222          0.06          0.12    0.48188782    0.59197235      131072
   223          0.06          0.12    0.35308838    0.46576691      131072
   224          0.06          0.12    0.43604279     0.5403595      131072
   225          0.06          0.12    0.33842468    0.44251251      131072
   226          0.06          0.12    0.43003082    0.53541565      131072
   227          0.06          0.12    0.41665649    0.52135468      131072
   228          0.06          0.12    0.33579254    0.42917633      131072
   229          0.06          0.12    0.47830963    0.58228302      131072
   230          0.06          0.12     0.3303299    0.42620087      131072
   231          0.06          0.12    0.44834137    0.54582214      131072
   232          0.06          0.12      0.322052    0.41448975      131072
   233          0.06          0.12    0.48316193    0.58356476      131072
   234          0.06          0.12    0.34610748     0.4515152      131072
   235          0.06          0.12    0.47221375    0.57314301      131072
   236          0.06          0.12    0.38139343    0.49768066      131072
   237          0.06          0.12    0.43654633    0.53031158      131072
   238          0.06          0.12     0.4004364    0.51995087      131072
   239          0.06          0.12    0.42476654    0.52773285      131072
   240          0.06          0.12    0.40032959    0.51847839      131072
   241          0.06          0.12    0.42644501    0.53881073      131072
   242          0.06          0.12    0.39374542    0.49349976      131072
   243          0.06          0.12    0.39509583    0.49517059      131072
   244          0.06          0.12    0.31707001    0.41457367      131072
   245          0.06          0.12    0.50514984    0.62172699      131072
   246          0.06          0.12    0.29356384    0.38766479      131072
   247          0.06          0.12    0.56099701     0.6707077      131072
   248          0.06          0.12    0.30436707    0.39221191      131072
   249          0.06          0.12    0.50775909    0.60381317      131072
   250          0.06          0.12    0.27831268    0.36419678      131072
   251          0.06          0.12      0.519104    0.62532806      131072
   252          0.06          0.12     0.2884903    0.38130188      131072
   253          0.06          0.12    0.49172974    0.60951996      131072
   254          0.06          0.12    0.34898376     0.4516449      131072
   255          0.06          0.12    0.41590118    0.51917267      131072
   256          0.06          0.12    0.35290527    0.44270325      131072
   257          0.06          0.12    0.39064789    0.49921417      131072
   258          0.06          0.12    0.41883087    0.51024628      131072
   259          0.06          0.12    0.40583801    0.50980377      131072
   260          0.06          0.12    0.38780975    0.48535919      131072
   261          0.06          0.12    0.44597626    0.55139923      131072
   262          0.06          0.12     0.3677597    0.46727753      131072
   263          0.06          0.12    0.42667389    0.53063965      131072
   264          0.06          0.12    0.40512085    0.51287079      131072
   265          0.06          0.12    0.38842773    0.48612976      131072
   266          0.06          0.12    0.45719147    0.56625366      131072
   267          0.06          0.12    0.40322876    0.50156403      131072
   268          0.06          0.12    0.41059875    0.51811218      131072
   269          0.06          0.12    0.44622803    0.55020905      131072
   270          0.06          0.12    0.38477325     0.4857254      131072
   271          0.06          0.12    0.45815277    0.55825806      131072
   272          0.06          0.12    0.35642242    0.45349884      131072
   273          0.06          0.12    0.40764618    0.49208069      131072
   274          0.06          0.12     0.4316864     0.5233078      131072
   275          0.06          0.12    0.31504822    0.38895416      131072
   276          0.06          0.12     0.5276947    0.63460541      131072
   277          0.06          0.12    0.28954315    0.36784363      131072
   278          0.06          0.12    0.49665833    0.58821106      131072
   279          0.06          0.12    0.27864838    0.35357666      131072
   280          0.06          0.12    0.48564911    0.58099365      131072
   281          0.06          0.12    0.29288483    0.38144684      131072
   282          0.06          0.12     0.5234375    0.61692047      131072
   283          0.06          0.12    0.36209106    0.46809387      131072
   284          0.06          0.12    0.49588776    0.58543396      131072
   285          0.06          0.12     0.3458786    0.44261169      131072
   286          0.06          0.12    0.44026947    0.51993561      131072
   287          0.06          0.12    0.33886719    0.44083405      131072
   288          0.06          0.12    0.41571808    0.50930023      131072
   289          0.06          0.12      0.383255    0.48784637      131072
   290          0.06          0.12     0.5045166     0.6062088      131072
   291          0.06          0.12    0.30672455    0.39182281      131072
   292          0.06          0.12      0.551651    0.65558624      131072
   293          0.06          0.12    0.28962708    0.37607574      131072
   294          0.06          0.12    0.48499298    0.58049011      131072
   295          0.06          0.12    0.37141418    0.46910858      131072
   296          0.06          0.12    0.40486908    0.48944855      131072
   297          0.06          0.12    0.42233276    0.50827789      131072
   298          0.06          0.12    0.33700562    0.40794373      131072
   299          0.06          0.12    0.46896362    0.55942535      131072
   300          0.06          0.12    0.34988403    0.43067932      131072
   301          0.06          0.12    0.44754028    0.54724884      131072
   302          0.06          0.12    0.40569305    0.50405121      131072
   303          0.06          0.12    0.37234497     0.4651413      131072
   304          0.06          0.12    0.44248962    0.53256989      131072
   305          0.06          0.12     0.3265686     0.4134903      131072
   306          0.06          0.12     0.4930191    0.58320618      131072
   307          0.06          0.12    0.32006073    0.40763855      131072
   308          0.06          0.12     0.5189743    0.60944366      131072
   309          0.06          0.12    0.30351257    0.38523865      131072
   310          0.06          0.12    0.49715424    0.58498383      131072
   311          0.06          0.12    0.31941986    0.40930939      131072
   312          0.06          0.12    0.50041199     0.5809021      131072
   313          0.06          0.12    0.32863617    0.42082977      131072
   314          0.06          0.12    0.42931366    0.52677155      131072
   315          0.06          0.12    0.36894989    0.45451355      131072
   316          0.06          0.12    0.41914368    0.50900269      131072
   317          0.06          0.12    0.42363739    0.51210785      131072
   318          0.06          0.12    0.39791107    0.48977661      131072
   319          0.06          0.12    0.43954468    0.51979828      131072
   320          0.06          0.12    0.34823608    0.42613983      131072
   321          0.06          0.12    0.47198486    0.55177307      131072
   322          0.06          0.12    0.28465271    0.35572815      131072
   323          0.06          0.12    0.52645874    0.62078094      131072
   324          0.06          0.12    0.24308777    0.30558014      131072
   325          0.06          0.12    0.53481293    0.62831116      131072
   326          0.06          0.12    0.25802612    0.31396484      131072
   327          0.06          0.12    0.48765564    0.56816101      131072
   328          0.06          0.12    0.27445984    0.33921814      131072
   329          0.06          0.12    0.48993683    0.56781769      131072
   330          0.06          0.12    0.28442383     0.3637085      131072
   331          0.06          0.12    0.51286316    0.60206604      131072
   332          0.06          0.12    0.32822418    0.41674805      131072
   333          0.06          0.12    0.50080109    0.59709167      131072
   334          0.06          0.12    0.39082336    0.49155426      131072
   335          0.06          0.12    0.44223022    0.52748108      131072
   336          0.06          0.12    0.37984467    0.46929169      131072
   337          0.06          0.12     0.4250412    0.49678802      131072
   338          0.06          0.12    0.37995148    0.46630859      131072
   339          0.06          0.12    0.40543365    0.47111511      131072
   340          0.06          0.12    0.37193298    0.45436859      131072
   341          0.06          0.12    0.39305878    0.47039795      131072
   342          0.06          0.12    0.43721771    0.52997589      131072
   343          0.06          0.12    0.35703278    0.44712067      131072
   344          0.06          0.12    0.48447418    0.57730103      131072
   345          0.06          0.12    0.31230927     0.4043808      131072
   346          0.06          0.12    0.52097321    0.61493683      131072
   347          0.06          0.12    0.35965729    0.45677948      131072
   348          0.06          0.12     0.4812851    0.57265472      131072
   349          0.06          0.12    0.37454987    0.46305084      131072
   350          0.06          0.12    0.42594147    0.50915527      131072
   351          0.06          0.12     0.4592514    0.55210114      131072
   352          0.06          0.12    0.37789917    0.46168518      131072
   353          0.06          0.12    0.45220947    0.55826569      131072
   354          0.06          0.12    0.35373688    0.44274139      131072
   355          0.06          0.12    0.48081207    0.58164978      131072
   356          0.06          0.12    0.31189728    0.39108276      131072
   357          0.06          0.12    0.47746277    0.56257629      131072
   358          0.06          0.12    0.27753448    0.36047363      131072
   359          0.06          0.12    0.54468536    0.63201904      131072
   360          0.06          0.12    0.25669861    0.32681274      131072
   361          0.06          0.12    0.55967712    0.64035797      131072
   362          0.06          0.12    0.28484344    0.35704803      131072
   363          0.06          0.12    0.48976135    0.56700897      131072
   364          0.06          0.12    0.29689789    0.37346649      131072
   365          0.06          0.12    0.50010681    0.58158112      131072
   366          0.06          0.12    0.30670929    0.38352966      131072
   367          0.06          0.12    0.45137787    0.53556824      131072
   368          0.06          0.12    0.39636993    0.47769165      131072
   369          0.06          0.12    0.35224915    0.43525696      131072
   370          0.06          0.12    0.45462036     0.5535202      131072
   371          0.06          0.12    0.37039185    0.45885468      131072
   372          0.06          0.12    0.43159485    0.52558899      131072
   373          0.06          0.12    0.39730835    0.48916626      131072
   374          0.06          0.12    0.36794281    0.45500946      131072
   375          0.06          0.12    0.45713043    0.54624939      131072
   376          0.06          0.12    0.36662292    0.44847107      131072
   377          0.06          0.12    0.45877075    0.54427338      131072
   378          0.06          0.12     0.3434906    0.41664886      131072
   379          0.06          0.12    0.46135712    0.55207062      131072
