source,run,label,momentum_config,search_momentum,muon_nesterov,search_nesterov,step,total_steps,loss,head_lr,muon_lr,muon_momentum,selected_muon_nesterov
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,37,50,0.8669,1072.0,0.00073,0.8,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,38,50,0.867,1072.0,0.00073,0.8,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,39,50,0.8669,1072.0,0.00044,0.8,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,40,50,0.8669,1072.0,0.00044,0.8,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,41,50,0.8669,1072.0,0.00073,0.9,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,42,50,0.867,1072.0,0.00073,0.9,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,43,50,0.8669,1072.0,0.00044,0.9,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,44,50,0.8669,1072.0,0.00044,0.9,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,45,50,0.8669,1072.0,0.00026,0.9,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,46,50,0.8669,1072.0,0.00026,0.9,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,47,50,0.8669,1072.0,0.00073,0.8,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,48,50,0.8669,1072.0,0.00073,0.8,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,49,50,0.8669,1072.0,0.00044,0.8,False
momentum2,0,"momentum2: run 0 - search_momentum_nesterov_false, search_nesterov=False",search_momentum_nesterov_false,True,False,False,50,50,0.8669,1072.0,0.00044,0.8,False
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,0,50,2.3135,1072.0,0.2,0.6,False
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,1,50,2.2202,1072.0,0.12,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,2,50,2.205,1072.0,0.12,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,3,50,1.727,1072.0,0.12,0.7,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,4,50,1.5267,1072.0,0.12,0.7,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,5,50,1.2196,1072.0,0.072,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,6,50,1.0775,1072.0,0.072,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,7,50,0.9565,1072.0,0.043,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,8,50,0.9116,1072.0,0.043,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,9,50,0.892,1072.0,0.026,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,10,50,0.8833,1072.0,0.026,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,11,50,0.8769,1072.0,0.016,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,12,50,0.8741,1072.0,0.016,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,13,50,0.8709,1072.0,0.0093,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,14,50,0.8702,1072.0,0.0093,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,15,50,0.8689,1072.0,0.0056,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,16,50,0.8686,1072.0,0.0056,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,17,50,0.8684,1072.0,0.0056,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,18,50,0.8685,1072.0,0.0056,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,19,50,0.8676,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,20,50,0.8676,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,21,50,0.8674,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,22,50,0.8677,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,23,50,0.8674,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,24,50,0.8676,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,25,50,0.8672,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,26,50,0.8677,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,27,50,0.8672,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,28,50,0.8676,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,29,50,0.8671,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,30,50,0.8677,1072.0,0.0034,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,31,50,0.8671,1072.0,0.002,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,32,50,0.867,1072.0,0.002,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,33,50,0.867,1072.0,0.0012,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,34,50,0.867,1072.0,0.0012,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,35,50,0.867,1072.0,0.00073,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,36,50,0.867,1072.0,0.00073,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,37,50,0.867,1072.0,0.00073,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,38,50,0.867,1072.0,0.00073,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,39,50,0.8669,1072.0,0.00073,0.9,False
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,40,50,0.8669,1072.0,0.00073,0.9,False
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,41,50,0.8669,1072.0,0.00044,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,42,50,0.8669,1072.0,0.00044,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,43,50,0.8669,1072.0,0.00044,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,44,50,0.8669,1072.0,0.00044,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,45,50,0.8669,1072.0,0.00044,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,46,50,0.8669,1072.0,0.00044,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,47,50,0.8669,1072.0,0.00044,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,48,50,0.8669,1072.0,0.00044,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,49,50,0.8669,1072.0,0.00026,0.9,True
momentum2,1,"momentum2: run 1 - search_momentum_search_nesterov, search_nesterov=True",search_momentum_search_nesterov,True,False,True,50,50,0.8669,1072.0,0.00026,0.9,True
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,0,50,2.3135,1072.0,0.2,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,1,50,2.2279,1072.0,0.2,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,2,50,2.2034,1072.0,0.2,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,3,50,1.864,1072.0,0.12,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,4,50,1.6205,1072.0,0.12,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,5,50,1.414,1072.0,0.2,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,6,50,1.4819,1072.0,0.2,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,7,50,1.1356,1072.0,0.072,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,8,50,1.0218,1072.0,0.072,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,9,50,0.9439,1072.0,0.026,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,10,50,0.9128,1072.0,0.026,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,11,50,0.8955,1072.0,0.016,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,12,50,0.8868,1072.0,0.016,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,13,50,0.8815,1072.0,0.0093,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,14,50,0.8796,1072.0,0.0093,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,15,50,0.8768,1072.0,0.0056,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,16,50,0.8753,1072.0,0.0056,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,17,50,0.8754,1072.0,0.0093,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,18,50,0.8746,1072.0,0.0093,0.6,
momentum,0,"momentum: run 0 - fixed_m0p6_nesterov, nesterov=True",fixed_m0p6_nesterov,False,True,unknown,19,50,0.8721,1072.0,0.0056,0.6,
