run,batch_size,muon_lr,update,train25_loss,val_acc,tta_val_acc,time_seconds
0,125,0.04,row_norm,0.9347,0.9316,0.9392,24.9632
1,125,0.04,zeropower_via_newtonschulz5,0.916,0.9296,0.9384,24.4299
2,500,0.079,row_norm,0.9333,0.9296,0.9361,10.7961
3,500,0.079,zeropower_via_newtonschulz5,0.9079,0.9302,0.9374,11.3091
4,2000,0.19,row_norm,1.1223,0.8551,0.864,10.185
5,2000,0.19,zeropower_via_newtonschulz5,0.8986,0.9304,0.9379,10.3548
