search,batch_size,update,k,muon_lr,initial_muon_lr,train25_loss,val_acc,tta_val_acc,time_seconds,selected
3,125,matrix_norm_max,5.0,0.013,0.04,0.9398,0.9269,0.934,25.3731,False
4,125,zeropower_via_newtonschulz5,-1.0,0.077,0.062,0.9403,0.9229,0.9335,26.4771,False
4,125,zeropower_via_newtonschulz5,0.0,0.062,0.062,0.9307,0.9284,0.9406,26.3035,True
4,125,zeropower_via_newtonschulz5,1.0,0.05,0.062,0.9207,0.927,0.9386,25.9589,False
5,125,zeropower_via_newtonschulz5_max,-1.0,0.077,0.062,1.0072,0.9095,0.9207,26.2883,False
5,125,zeropower_via_newtonschulz5_max,0.0,0.062,0.062,0.9958,0.9185,0.9272,26.189,False
5,125,zeropower_via_newtonschulz5_max,1.0,0.05,0.062,0.9765,0.9212,0.9284,26.4684,False
5,125,zeropower_via_newtonschulz5_max,2.0,0.04,0.062,0.9566,0.9254,0.9343,26.5168,False
5,125,zeropower_via_newtonschulz5_max,3.0,0.032,0.062,0.9473,0.9232,0.9359,25.3289,False
5,125,zeropower_via_newtonschulz5_max,4.0,0.025,0.062,0.9292,0.9262,0.9393,25.9863,True
5,125,zeropower_via_newtonschulz5_max,5.0,0.02,0.062,0.9218,0.9295,0.9359,26.4,False
6,500,row_norm,-1.0,0.11,0.084,0.9441,0.9259,0.9326,11.0557,False
6,500,row_norm,0.0,0.084,0.084,0.9355,0.9267,0.9387,11.0266,True
6,500,row_norm,1.0,0.067,0.084,0.9315,0.9262,0.9355,11.0577,False
7,500,row_norm_max,-1.0,0.11,0.084,1.0065,0.906,0.9156,11.0635,False
7,500,row_norm_max,0.0,0.084,0.084,0.9813,0.9151,0.9218,11.0747,False
7,500,row_norm_max,1.0,0.067,0.084,0.9674,0.9192,0.9248,11.0843,False
7,500,row_norm_max,2.0,0.054,0.084,0.954,0.9226,0.9291,11.0933,False
7,500,row_norm_max,3.0,0.043,0.084,0.9459,0.9216,0.9304,11.0926,True
7,500,row_norm_max,4.0,0.034,0.084,0.936,0.9256,0.9299,11.1013,False
8,500,matrix_norm,-1.0,0.11,0.084,0.9552,0.9219,0.9319,11.1074,False
8,500,matrix_norm,0.0,0.084,0.084,0.9414,0.9268,0.9346,11.1007,True
8,500,matrix_norm,1.0,0.067,0.084,0.937,0.9252,0.9331,11.1016,False
9,500,matrix_norm_max,-1.0,0.11,0.084,1.0268,0.9012,0.9092,11.0957,False
9,500,matrix_norm_max,0.0,0.084,0.084,0.9977,0.9109,0.9171,11.1011,False
9,500,matrix_norm_max,1.0,0.067,0.084,0.9793,0.9127,0.9214,11.1007,False
9,500,matrix_norm_max,2.0,0.054,0.084,0.9663,0.9194,0.9253,11.0998,False
9,500,matrix_norm_max,3.0,0.043,0.084,0.9511,0.9181,0.9269,11.1004,False
9,500,matrix_norm_max,4.0,0.034,0.084,0.9388,0.9237,0.9328,11.1071,False
9,500,matrix_norm_max,5.0,0.028,0.084,0.935,0.9225,0.9338,11.1045,True
9,500,matrix_norm_max,6.0,0.022,0.084,0.9346,0.9235,0.9336,11.1076,False
10,500,zeropower_via_newtonschulz5,-1.0,0.12,0.099,0.9142,0.9286,0.9387,11.6143,False
10,500,zeropower_via_newtonschulz5,0.0,0.099,0.099,0.9099,0.9317,0.9404,11.6159,True
10,500,zeropower_via_newtonschulz5,1.0,0.079,0.099,0.9079,0.9302,0.9374,11.6126,False
11,500,zeropower_via_newtonschulz5_max,-1.0,0.12,0.099,0.9614,0.9172,0.9253,11.6416,False
11,500,zeropower_via_newtonschulz5_max,0.0,0.099,0.099,0.949,0.922,0.9313,11.6319,False
11,500,zeropower_via_newtonschulz5_max,1.0,0.079,0.099,0.9379,0.9231,0.9348,11.6385,True
11,500,zeropower_via_newtonschulz5_max,2.0,0.063,0.099,0.925,0.9258,0.9343,11.6421,False
12,2000,row_norm,-1.0,0.076,0.061,0.9873,0.9031,0.9109,10.3978,False
12,2000,row_norm,0.0,0.061,0.061,0.9918,0.902,0.9151,10.3925,True
12,2000,row_norm,1.0,0.049,0.061,1.006,0.899,0.9107,10.4032,False
13,2000,row_norm_max,-1.0,0.076,0.061,1.1527,0.8364,0.8479,10.4055,False
13,2000,row_norm_max,0.0,0.061,0.061,1.0654,0.8765,0.8861,10.4068,False
13,2000,row_norm_max,1.0,0.049,0.061,1.0295,0.8898,0.9005,10.3968,False
13,2000,row_norm_max,2.0,0.039,0.061,1.0018,0.8989,0.9063,10.3925,False
13,2000,row_norm_max,3.0,0.031,0.061,0.9841,0.9032,0.9144,10.4004,True
13,2000,row_norm_max,4.0,0.025,0.061,0.9862,0.9032,0.9113,10.3868,False
14,2000,matrix_norm,-1.0,0.076,0.061,1.0122,0.8997,0.9081,10.3986,False
14,2000,matrix_norm,0.0,0.061,0.061,1.005,0.9026,0.9117,10.4031,True
14,2000,matrix_norm,1.0,0.049,0.061,1.015,0.8982,0.9078,10.4013,False
15,2000,matrix_norm_max,-1.0,0.076,0.061,1.1837,0.8297,0.8362,10.3945,False
15,2000,matrix_norm_max,0.0,0.061,0.061,1.1575,0.8377,0.8478,10.396,False
15,2000,matrix_norm_max,1.0,0.049,0.061,1.1178,0.8584,0.8653,10.3949,False
15,2000,matrix_norm_max,2.0,0.039,0.061,1.043,0.8858,0.897,10.4066,False
15,2000,matrix_norm_max,3.0,0.031,0.061,1.0248,0.8909,0.9031,10.4035,False
15,2000,matrix_norm_max,4.0,0.025,0.061,1.0082,0.9011,0.9079,10.4007,True
15,2000,matrix_norm_max,5.0,0.02,0.061,1.0089,0.8985,0.9077,10.3914,False
16,2000,zeropower_via_newtonschulz5,-1.0,0.28,0.22,0.9037,0.9324,0.9397,10.5526,False
16,2000,zeropower_via_newtonschulz5,0.0,0.22,0.22,0.8994,0.931,0.9409,10.5464,True
16,2000,zeropower_via_newtonschulz5,1.0,0.18,0.22,0.8997,0.932,0.939,10.5527,False
17,2000,zeropower_via_newtonschulz5_max,-1.0,0.28,0.22,0.9387,0.9152,0.926,10.5677,False
17,2000,zeropower_via_newtonschulz5_max,0.0,0.22,0.22,0.926,0.9229,0.93,10.5605,False
17,2000,zeropower_via_newtonschulz5_max,1.0,0.18,0.22,0.9187,0.9265,0.9338,10.5562,False
17,2000,zeropower_via_newtonschulz5_max,2.0,0.14,0.22,0.9093,0.9299,0.9369,10.5578,False
17,2000,zeropower_via_newtonschulz5_max,3.0,0.11,0.22,0.9035,0.9276,0.9379,10.5608,False
17,2000,zeropower_via_newtonschulz5_max,4.0,0.09,0.22,0.9001,0.9313,0.9405,10.5551,True
17,2000,zeropower_via_newtonschulz5_max,5.0,0.072,0.22,0.8987,0.9295,0.9361,10.5574,False
