search,batch_size,update,k,muon_lr,initial_muon_lr,train25_loss,val_acc,tta_val_acc,time_seconds,selected
0,125,row_norm,-1.0,0.05,0.04,0.9379,0.9297,0.938,23.168,False
0,125,row_norm,0.0,0.04,0.04,0.9347,0.9316,0.9392,24.2295,True
0,125,row_norm,1.0,0.032,0.04,0.9373,0.9262,0.9367,23.793,False
1,125,row_norm_max,-1.0,0.05,0.04,1.0012,0.9144,0.9204,24.4645,False
1,125,row_norm_max,0.0,0.04,0.04,0.9812,0.9178,0.9264,25.7462,False
1,125,row_norm_max,1.0,0.032,0.04,0.9667,0.9223,0.9305,25.6745,False
1,125,row_norm_max,2.0,0.026,0.04,0.9544,0.9251,0.9316,25.0944,False
1,125,row_norm_max,3.0,0.02,0.04,0.9401,0.9298,0.934,26.6862,False
1,125,row_norm_max,4.0,0.016,0.04,0.9286,0.9291,0.9372,25.9501,True
1,125,row_norm_max,5.0,0.013,0.04,0.9325,0.9241,0.9338,25.4052,False
2,125,matrix_norm,-1.0,0.05,0.04,0.9451,0.9291,0.9359,25.4577,False
2,125,matrix_norm,0.0,0.04,0.04,0.9359,0.9267,0.9356,25.1634,False
2,125,matrix_norm,1.0,0.032,0.04,0.9384,0.9287,0.937,20.9051,True
2,125,matrix_norm,2.0,0.026,0.04,0.9457,0.9272,0.9345,22.5568,False
3,125,matrix_norm_max,-1.0,0.05,0.04,1.0136,0.9107,0.92,23.3546,False
3,125,matrix_norm_max,0.0,0.04,0.04,0.9859,0.9167,0.9269,25.1676,False
3,125,matrix_norm_max,1.0,0.032,0.04,0.9657,0.9211,0.9281,21.3888,False
3,125,matrix_norm_max,2.0,0.026,0.04,0.9538,0.9277,0.9338,18.3327,False
3,125,matrix_norm_max,3.0,0.02,0.04,0.9427,0.9293,0.9353,23.9288,False
3,125,matrix_norm_max,4.0,0.016,0.04,0.9359,0.9281,0.9376,25.1848,True
