run,N,M,final_k_granularity,cooldown_final_k_granularity,step,total_steps,loss,head_lr,muon_lr
3,1,1,1.0,1.0,29,50,0.9072,1072.0,0.0056
3,1,1,1.0,1.0,30,50,0.9018,1072.0,0.0034
3,1,1,1.0,1.0,31,50,0.8999,1072.0,0.0056
3,1,1,1.0,1.0,32,50,0.8965,1072.0,0.0034
3,1,1,1.0,1.0,33,50,0.8955,1072.0,0.0034
3,1,1,1.0,1.0,34,50,0.8931,1072.0,0.0034
3,1,1,1.0,1.0,35,50,0.8921,1072.0,0.0034
3,1,1,1.0,1.0,36,50,0.8911,1072.0,0.0034
3,1,1,1.0,1.0,37,50,0.8898,1072.0,0.002
3,1,1,1.0,1.0,38,50,0.8876,1072.0,0.002
3,1,1,1.0,1.0,39,50,0.887,1072.0,0.0034
3,1,1,1.0,1.0,40,50,0.8858,1072.0,0.002
3,1,1,1.0,1.0,41,50,0.8855,1072.0,0.002
3,1,1,1.0,1.0,42,50,0.8844,1072.0,0.002
3,1,1,1.0,1.0,43,50,0.8842,1072.0,0.002
3,1,1,1.0,1.0,44,50,0.8834,1072.0,0.002
3,1,1,1.0,1.0,45,50,0.8829,1072.0,0.002
3,1,1,1.0,1.0,46,50,0.8823,1072.0,0.002
3,1,1,1.0,1.0,47,50,0.8819,1072.0,0.002
3,1,1,1.0,1.0,48,50,0.8815,1072.0,0.002
3,1,1,1.0,1.0,49,50,0.8811,1072.0,0.002
3,1,1,1.0,1.0,50,50,0.8802,1072.0,0.00073
4,1,1,1.0,0.25,0,50,2.3135,1072.0,0.2
4,1,1,1.0,0.25,1,50,2.2511,1072.0,0.33
4,1,1,1.0,0.25,2,50,2.7174,1072.0,0.56
4,1,1,1.0,0.25,3,50,2.0893,1072.0,0.12
4,1,1,1.0,0.25,4,50,1.9124,1072.0,0.2
4,1,1,1.0,0.25,5,50,1.7727,1072.0,0.12
4,1,1,1.0,0.25,6,50,1.6507,1072.0,0.072
4,1,1,1.0,0.25,7,50,1.6045,1072.0,0.072
4,1,1,1.0,0.25,8,50,1.6175,1072.0,0.072
4,1,1,1.0,0.25,9,50,1.632,1072.0,0.043
4,1,1,1.0,0.25,10,50,1.5029,1072.0,0.026
4,1,1,1.0,0.25,11,50,1.397,1072.0,0.026
4,1,1,1.0,0.25,12,50,1.3273,1072.0,0.043
4,1,1,1.0,0.25,13,50,1.2661,1072.0,0.026
4,1,1,1.0,0.25,14,50,1.248,1072.0,0.026
4,1,1,1.0,0.25,15,50,1.2119,1072.0,0.026
4,1,1,1.0,0.25,16,50,1.1959,1072.0,0.016
4,1,1,1.0,0.25,17,50,1.1784,1072.0,0.016
4,1,1,1.0,0.25,18,50,1.1423,1072.0,0.016
4,1,1,1.0,0.25,19,50,1.1263,1072.0,0.016
4,1,1,1.0,0.25,20,50,1.0866,1072.0,0.016
4,1,1,1.0,0.25,21,50,1.056,1072.0,0.016
4,1,1,1.0,0.25,22,50,1.047,1072.0,0.016
4,1,1,1.0,0.25,23,50,1.0218,1072.0,0.016
