Momentum line-search summary

step  candidates  pre_train  selected_train  pre_second  selected_second  head_lr  muon_lr  head_m  muon_m
   1          20    4608.38         4310.76     4612.37          4451.05    0.343   0.1229  []  []
   2         128    4310.76         3950.58     4451.05          4251.45    3.994   0.1229  [0]  [0.2]
   3         218    3950.58         3263.23     4251.45          4038.85     10.3  0.06291  [0, 0.8]  [0, 0.3]
   4         190    3263.23         2779.98     4038.85          3804.12    6.362  0.05984  [0, 0.7, 0.8]  [0, 0.2, 0.5]
   5         247    2779.98         2468.61     3804.12          3725.92    6.522  0.04554  [0, 0.5, 0.8, 0.6]  [0, 0.1, 0.3, 0.6]
   6         204    2468.61         2200.51     3725.92          3649.42    6.288  0.04285  [0, 0.5, 0.8, 0.6, 0.7]  [0, 0.1, 0.4, 0.5, 0.6]
   7         234    2200.51         2026.66     3649.42          3631.67    7.194  0.03226  [0, 0.5, 0.8, 0.6, 0.8, 0.9]  [0, 0.1, 0.4, 0.5, 0.6, 0.6]
   8         192    2026.66         1924.22     3631.67          3677.73    6.585  0.03009  [0, 0.5, 0.8, 0.6, 0.8, 0.9, 0.8]  [0, 0.1, 0.4, 0.5, 0.6, 0.6, 0.6]
   9         176    1924.22         1864.34     3677.73          3666.15    3.693  0.02245  [0, 0.5, 0.8, 0.6, 0.8, 0.9, 0.9, 0.7]  [0, 0.1, 0.4, 0.5, 0.6, 0.6, 0.6, 0.7]
  10         205    1864.34         1827.03     3666.15          3672.86    3.693   0.0208  [0, 0.5, 0.8, 0.6, 0.8, 0.9, 0.6, 0.8, 0.6]  [0, 0.1, 0.4, 0.5, 0.6, 0.6, 0.6, 0.7, 0.7]
