run,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,muon_lr,muon_momentum,selected_muon_nesterov,interval_loss,best_cooldown_muon_lr,best_cooldown_muon_momentum,best_cooldown_muon_nesterov,best_final_loss
0,search_momentum_search_nesterov,True,False,True,2,4,0.072,0.8,True,1.060908,0.043,0.8,True,0.923243
0,search_momentum_search_nesterov,True,False,True,2,4,0.072,0.9,False,1.01555,0.026,0.9,False,0.927308
0,search_momentum_search_nesterov,True,False,True,2,4,0.072,0.9,True,1.012369,0.043,0.9,True,0.910079
0,search_momentum_search_nesterov,True,False,True,2,4,0.043,0.7,False,1.028739,0.026,0.7,False,0.919974
0,search_momentum_search_nesterov,True,False,True,2,4,0.043,0.8,False,1.045283,0.026,0.8,False,0.918041
0,search_momentum_search_nesterov,True,False,True,2,4,0.043,0.8,True,1.035164,0.026,0.8,True,0.917251
0,search_momentum_search_nesterov,True,False,True,2,4,0.043,0.9,True,1.040249,0.026,0.9,True,0.920705
0,search_momentum_search_nesterov,True,False,True,3,6,0.12,0.9,False,1.189491,0.026,0.9,False,0.949354
0,search_momentum_search_nesterov,True,False,True,3,6,0.12,0.9,True,1.107299,0.072,0.9,True,0.930149
0,search_momentum_search_nesterov,True,False,True,3,6,0.072,0.8,False,0.939725,0.0093,0.8,False,0.900677
0,search_momentum_search_nesterov,True,False,True,3,6,0.072,0.8,True,0.95843,0.043,0.8,True,0.896042
0,search_momentum_search_nesterov,True,False,True,3,6,0.072,0.9,False,0.954913,0.016,0.9,False,0.902218
0,search_momentum_search_nesterov,True,False,True,3,6,0.072,0.9,True,0.943154,0.043,0.9,True,0.890941
0,search_momentum_search_nesterov,True,False,True,3,6,0.043,0.8,False,0.927559,0.026,0.8,False,0.890674
0,search_momentum_search_nesterov,True,False,True,3,6,0.043,0.8,True,0.915971,0.016,0.8,True,0.885097
0,search_momentum_search_nesterov,True,False,True,3,6,0.043,0.9,False,0.919769,0.026,0.9,False,0.888735
0,search_momentum_search_nesterov,True,False,True,3,6,0.043,0.9,True,0.910576,0.026,0.9,True,0.884254
0,search_momentum_search_nesterov,True,False,True,3,6,0.026,0.9,False,0.926219,0.016,0.9,False,0.889956
0,search_momentum_search_nesterov,True,False,True,3,6,0.026,0.9,True,0.920128,0.016,0.9,True,0.887624
0,search_momentum_search_nesterov,True,False,True,4,8,0.072,0.9,False,0.996251,0.016,0.9,False,0.895051
0,search_momentum_search_nesterov,True,False,True,4,8,0.072,0.9,True,0.941438,0.043,0.9,True,0.884657
0,search_momentum_search_nesterov,True,False,True,4,8,0.043,0.8,False,0.895253,0.0056,0.8,False,0.878742
0,search_momentum_search_nesterov,True,False,True,4,8,0.043,0.8,True,0.919476,0.026,0.8,True,0.879191
0,search_momentum_search_nesterov,True,False,True,4,8,0.043,0.9,False,0.902402,0.0093,0.9,False,0.880288
0,search_momentum_search_nesterov,True,False,True,4,8,0.043,0.9,True,0.913859,0.026,0.9,True,0.877921
0,search_momentum_search_nesterov,True,False,True,4,8,0.026,0.8,False,0.889754,0.0056,0.8,False,0.877759
0,search_momentum_search_nesterov,True,False,True,4,8,0.026,0.8,True,0.890237,0.016,0.8,True,0.875672
0,search_momentum_search_nesterov,True,False,True,4,8,0.026,0.9,False,0.88919,0.016,0.9,False,0.875371
0,search_momentum_search_nesterov,True,False,True,4,8,0.026,0.9,True,0.881878,0.016,0.9,True,0.873237
0,search_momentum_search_nesterov,True,False,True,4,8,0.016,0.9,False,0.883092,0.0093,0.9,False,0.875428
0,search_momentum_search_nesterov,True,False,True,4,8,0.016,0.9,True,0.881563,0.0093,0.9,True,0.87451
0,search_momentum_search_nesterov,True,False,True,5,10,0.043,0.9,False,0.908616,0.0093,0.9,False,0.877128
0,search_momentum_search_nesterov,True,False,True,5,10,0.043,0.9,True,0.911628,0.026,0.9,True,0.878287
0,search_momentum_search_nesterov,True,False,True,5,10,0.026,0.8,False,0.877483,0.0056,0.8,False,0.870883
0,search_momentum_search_nesterov,True,False,True,5,10,0.026,0.8,True,0.887205,0.016,0.8,True,0.87254
0,search_momentum_search_nesterov,True,False,True,5,10,0.026,0.9,False,0.880114,0.0093,0.9,False,0.871018
0,search_momentum_search_nesterov,True,False,True,5,10,0.026,0.9,True,0.881264,0.0093,0.9,True,0.871517
0,search_momentum_search_nesterov,True,False,True,5,10,0.016,0.8,False,0.878466,0.0093,0.8,False,0.870834
