run,momentum_config,search_momentum,muon_nesterov,search_nesterov,interval_index,start_step,interval_muon_lr,interval_muon_momentum,interval_muon_nesterov,cooldown_muon_lr,cooldown_muon_momentum,cooldown_muon_nesterov,final_loss
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.7,True,0.12,0.7,True,1.646095
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.7,True,0.072,0.7,True,1.629984
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.7,True,0.043,0.7,True,1.677718
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.8,True,0.33,0.8,True,1.823534
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.8,True,0.2,0.8,True,1.799936
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.8,True,0.12,0.8,True,1.629377
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.8,True,0.072,0.8,True,1.629306
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.8,True,0.043,0.8,True,1.679485
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.9,True,0.33,0.9,True,1.797381
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.9,True,0.2,0.9,True,1.794273
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.9,True,0.12,0.9,True,1.619442
0,search_momentum_search_nesterov,True,False,True,0,0,0.2,0.9,True,0.072,0.9,True,1.632684
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.5,False,0.2,0.5,False,1.785996
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.5,False,0.12,0.5,False,1.759118
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.5,False,0.072,0.5,False,1.647059
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.5,False,0.043,0.5,False,1.650849
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,False,0.2,0.6,False,1.779403
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,False,0.12,0.6,False,1.762417
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,False,0.072,0.6,False,1.646008
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,False,0.043,0.6,False,1.653702
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,True,0.2,0.6,True,1.76938
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,True,0.12,0.6,True,1.76666
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,True,0.072,0.6,True,1.649559
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,True,0.043,0.6,True,1.643299
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.6,True,0.026,0.6,True,1.697034
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.7,False,0.2,0.7,False,1.768897
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.7,False,0.12,0.7,False,1.771408
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.7,False,0.072,0.7,False,1.647504
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.7,False,0.043,0.7,False,1.657611
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.7,True,0.2,0.7,True,1.75257
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.7,True,0.12,0.7,True,1.761831
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.7,True,0.072,0.7,True,1.633034
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.7,True,0.043,0.7,True,1.639541
0,search_momentum_search_nesterov,True,False,True,0,0,0.12,0.8,True,0.2,0.8,True,1.739348
