run,momentum_config,search_momentum,muon_nesterov,search_nesterov,step,total_steps,loss,head_lr,muon_lr,muon_momentum,selected_muon_nesterov
0,search_momentum_search_nesterov,True,False,True,0,50,2.3135,1072.0,0.2,0.6,False
0,search_momentum_search_nesterov,True,False,True,1,50,2.2202,1072.0,0.12,0.9,True
0,search_momentum_search_nesterov,True,False,True,2,50,2.205,1072.0,0.12,0.9,True
0,search_momentum_search_nesterov,True,False,True,3,50,1.6864,1072.0,0.12,0.8,False
0,search_momentum_search_nesterov,True,False,True,4,50,1.4267,1072.0,0.12,0.8,False
0,search_momentum_search_nesterov,True,False,True,5,50,1.1153,1072.0,0.072,0.9,True
0,search_momentum_search_nesterov,True,False,True,6,50,1.0124,1072.0,0.072,0.9,True
0,search_momentum_search_nesterov,True,False,True,7,50,0.9511,1072.0,0.043,0.9,True
0,search_momentum_search_nesterov,True,False,True,8,50,0.9106,1072.0,0.043,0.9,True
0,search_momentum_search_nesterov,True,False,True,9,50,0.8918,1072.0,0.026,0.9,True
0,search_momentum_search_nesterov,True,False,True,10,50,0.8819,1072.0,0.026,0.9,True
0,search_momentum_search_nesterov,True,False,True,11,50,0.875,1072.0,0.016,0.9,True
0,search_momentum_search_nesterov,True,False,True,12,50,0.8736,1072.0,0.016,0.9,True
0,search_momentum_search_nesterov,True,False,True,13,50,0.8704,1072.0,0.0093,0.9,True
0,search_momentum_search_nesterov,True,False,True,14,50,0.8698,1072.0,0.0093,0.9,True
0,search_momentum_search_nesterov,True,False,True,15,50,0.8687,1072.0,0.0056,0.9,True
0,search_momentum_search_nesterov,True,False,True,16,50,0.8684,1072.0,0.0056,0.9,True
0,search_momentum_search_nesterov,True,False,True,17,50,0.8686,1072.0,0.0056,0.9,True
0,search_momentum_search_nesterov,True,False,True,18,50,0.8682,1072.0,0.0056,0.9,True
0,search_momentum_search_nesterov,True,False,True,19,50,0.8676,1072.0,0.0034,0.9,True
0,search_momentum_search_nesterov,True,False,True,20,50,0.8675,1072.0,0.0034,0.9,True
0,search_momentum_search_nesterov,True,False,True,21,50,0.8673,1072.0,0.0034,0.9,False
0,search_momentum_search_nesterov,True,False,True,22,50,0.8676,1072.0,0.0034,0.9,False
0,search_momentum_search_nesterov,True,False,True,23,50,0.8674,1072.0,0.0034,0.9,True
0,search_momentum_search_nesterov,True,False,True,24,50,0.8675,1072.0,0.0034,0.9,True
0,search_momentum_search_nesterov,True,False,True,25,50,0.8672,1072.0,0.0034,0.9,True
0,search_momentum_search_nesterov,True,False,True,26,50,0.8676,1072.0,0.0034,0.9,True
0,search_momentum_search_nesterov,True,False,True,27,50,0.8671,1072.0,0.0034,0.9,True
0,search_momentum_search_nesterov,True,False,True,28,50,0.8676,1072.0,0.0034,0.9,True
0,search_momentum_search_nesterov,True,False,True,29,50,0.8671,1072.0,0.002,0.9,True
0,search_momentum_search_nesterov,True,False,True,30,50,0.867,1072.0,0.002,0.9,True
0,search_momentum_search_nesterov,True,False,True,31,50,0.867,1072.0,0.0012,0.9,True
0,search_momentum_search_nesterov,True,False,True,32,50,0.867,1072.0,0.0012,0.9,True
0,search_momentum_search_nesterov,True,False,True,33,50,0.867,1072.0,0.0012,0.9,False
0,search_momentum_search_nesterov,True,False,True,34,50,0.867,1072.0,0.0012,0.9,False
0,search_momentum_search_nesterov,True,False,True,35,50,0.867,1072.0,0.002,0.9,True
0,search_momentum_search_nesterov,True,False,True,36,50,0.8672,1072.0,0.002,0.9,True
0,search_momentum_search_nesterov,True,False,True,37,50,0.867,1072.0,0.0012,0.9,True
0,search_momentum_search_nesterov,True,False,True,38,50,0.867,1072.0,0.0012,0.9,True
0,search_momentum_search_nesterov,True,False,True,39,50,0.8669,1072.0,0.00073,0.9,True
0,search_momentum_search_nesterov,True,False,True,40,50,0.8669,1072.0,0.00073,0.9,True
0,search_momentum_search_nesterov,True,False,True,41,50,0.8669,1072.0,0.00073,0.9,False
0,search_momentum_search_nesterov,True,False,True,42,50,0.8669,1072.0,0.00073,0.9,False
0,search_momentum_search_nesterov,True,False,True,43,50,0.8669,1072.0,0.00073,0.9,True
0,search_momentum_search_nesterov,True,False,True,44,50,0.8669,1072.0,0.00073,0.9,True
0,search_momentum_search_nesterov,True,False,True,45,50,0.8669,1072.0,0.00044,0.9,True
0,search_momentum_search_nesterov,True,False,True,46,50,0.8669,1072.0,0.00044,0.9,True
0,search_momentum_search_nesterov,True,False,True,47,50,0.8669,1072.0,0.00044,0.9,True
0,search_momentum_search_nesterov,True,False,True,48,50,0.8669,1072.0,0.00044,0.9,True
0,search_momentum_search_nesterov,True,False,True,49,50,0.8669,1072.0,0.00016,0.9,True
0,search_momentum_search_nesterov,True,False,True,50,50,0.8669,1072.0,0.00016,0.9,True
